ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	13411	1	2	0.000000	24.931996	24.810230	0.000000	0.000000	0	2005	0
2	2	1	2	0.000000	57.000000	57.000000	0.000000	0.000000	0	31	0
3	4	1	2	0.000000	94.750000	94.750000	0.000000	0.000000	0	50	0
4	1	1	4	0.000000	314.000000	314.000000	0.000000	0.000000	0	160	0
5	1	1	3	0.000000	596.000000	596.000000	0.000000	0.000000	0	290	0
6	0	2	2	Inf	Inf	Inf	Inf	Inf	0	307	0
7	2	4	1	0.000000	595.000000	465.500000	0.000000	0.000000	0	294	0
8	1	2	1	0.000000	79.000000	45.000000	0.000000	0.000000	0	40	0
9	76	1	1	0.000000	25.697368	25.697368	0.000000	0.000000	0	31	0
10	56739	2	1	0.000000	13.542273	13.490774	0.000000	0.000000	0	2454	0
11	29	1	1	0.000000	3.103448	3.103448	0.000000	0.000000	0	3	0
12	1	1	3	0.000000	46.000000	46.000000	0.000000	0.000000	0	27	0
13	1	1	4	0.000000	85.000000	85.000000	0.000000	0.000000	0	41	0
14	18	1	2	0.000000	89.388889	89.388889	0.000000	0.000000	0	47	0
15	5	2	2	0.000000	99.800000	99.800000	0.000000	0.000000	0	49	0
16	400	1	1	0.000000	94.012500	84.892500	0.000000	0.000000	0	174	0
17	310	2	2	0.000000	106.619355	83.190323	0.000000	0.000000	0	172	0
18	2	2	1	0.000000	87.000000	87.000000	0.000000	0.000000	0	35	0
19	1	2	1	0.000000	84.000000	84.000000	0.000000	0.000000	0	35	0
20	1	2	1	0.000000	80.000000	80.000000	0.000000	0.000000	0	34	0
21	1	2	1	0.000000	17.000000	17.000000	0.000000	0.000000	0	10	0
22	1	2	1	0.000000	14.000000	14.000000	0.000000	0.000000	0	8	0
23	28	1	1	0.000000	3.750000	3.750000	0.000000	0.000000	0	4	0
24	71187	1	2	0.000000	12.577128	12.576257	0.000000	0.000000	0	2449	0
25	10206	1	1	0.000000	12.568685	12.568685	0.000000	0.000000	0	360	0
26	24069	1	1	0.000000	12.300719	12.300719	0.000000	0.000000	0	837	0
27	29	1	1	0.000000	3.551724	3.551724	0.000000	0.000000	0	3	0
28	12771	1	2	0.000000	12.577167	12.577167	0.000000	0.000000	0	450	0
29	46	3	2	0.000000	49.913043	49.913043	0.000000	0.000000	0	35	0
30	9876	1	1	0.000000	12.644795	12.644795	0.000000	0.000000	0	344	0
31	1	1	3	0.000000	230.000000	230.000000	0.000000	0.000000	0	108	0
32	1	2	7	0.000000	603.000000	455.000000	0.000000	0.000000	0	309	0
33	1	2	1	0.000000	224.000000	169.000000	0.000000	0.000000	0	100	0
34	1	2	1	0.000000	199.000000	144.000000	0.000000	0.000000	0	80	0
35	1	6	1	0.000000	185.000000	96.000000	0.000000	0.000000	0	87	0
36	1	2	1	0.000000	19.000000	19.000000	0.000000	0.000000	0	8	0
37	59	1	1	0.000000	10.050847	10.050847	0.000000	0.000000	0	5	0
38	2	2	2	0.000000	28.000000	28.000000	0.000000	0.000000	0	9	0
39	2	2	3	0.000000	41.000000	41.000000	0.000000	0.000000	0	11	0
40	2	2	1	0.000000	27.000000	27.000000	0.000000	0.000000	0	8	0
41	33064	1	1	0.000000	12.562545	12.562545	0.000000	0.000000	0	1131	0
