ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	930	2	2	0.000000	22.364516	22.302151	0.000000	0.000000	0	0	0
2	28	1	1	0.000000	3.214286	3.214286	0.000000	0.000000	0	0	0
3	400	2	2	0.000000	26.267500	26.267500	0.000000	0.000000	0	0	0
4	80	1	1	0.000000	3.225000	3.225000	0.000000	0.000000	0	0	0
5	29	2	2	0.000000	27.103448	27.103448	0.000000	0.000000	0	0	0
6	28	1	1	0.000000	2.464286	2.464286	0.000000	0.000000	0	0	0
7	132	2	2	0.000000	22.750000	22.750000	0.000000	0.000000	0	0	0
8	350	2	2	0.000000	26.285714	25.960000	0.000000	0.000000	0	0	0
9	27	1	1	0.000000	3.074074	3.074074	0.000000	0.000000	0	0	0
10	291	2	2	0.000000	24.890034	24.890034	0.000000	0.000000	0	0	0
11	27	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
12	453	2	2	0.000000	23.858720	23.611479	0.000000	0.000000	0	0	0
13	597	2	2	0.000000	24.509213	24.040201	0.000000	0.000000	0	0	0
14	25	1	1	0.000000	2.920000	2.920000	0.000000	0.000000	0	0	0
15	298	2	2	0.000000	25.402685	24.919463	0.000000	0.000000	0	0	0
16	28	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
17	148	2	2	0.000000	27.743243	27.743243	0.000000	0.000000	0	0	0
18	28	1	1	0.000000	2.571429	2.571429	0.000000	0.000000	0	0	0
19	642	2	2	0.000000	25.082555	24.702492	0.000000	0.000000	0	0	0
20	27	1	1	0.000000	2.222222	2.222222	0.000000	0.000000	0	0	0
21	86	2	2	0.000000	26.127907	26.127907	0.000000	0.000000	0	0	0
22	8676	1	2	0.000000	25.132319	25.121830	0.000000	0.000000	0	0	0
23	2	1	2	0.000000	57.000000	57.000000	0.000000	0.000000	0	0	0
24	4	1	2	0.000000	94.750000	94.750000	0.000000	0.000000	0	0	0
25	1	1	4	0.000000	314.000000	314.000000	0.000000	0.000000	0	0	0
26	1	2	4	0.000000	596.000000	596.000000	0.000000	0.000000	0	0	0
27	2	2	2	0.000000	584.500000	584.500000	0.000000	0.000000	0	0	0
28	2	2	1	0.000000	574.000000	574.000000	0.000000	0.000000	0	0	0
29	1	4	1	0.000000	357.000000	357.000000	0.000000	0.000000	0	0	0
30	1	3	1	0.000000	293.000000	293.000000	0.000000	0.000000	0	0	0
31	1	4	1	0.000000	245.000000	245.000000	0.000000	0.000000	0	0	0
32	1	4	1	0.000000	166.000000	166.000000	0.000000	0.000000	0	0	0
33	1	2	1	0.000000	67.000000	67.000000	0.000000	0.000000	0	0	0
34	1	2	1	0.000000	45.000000	45.000000	0.000000	0.000000	0	0	0
35	76	1	1	0.000000	25.697368	25.697368	0.000000	0.000000	0	0	0
36	2462	2	1	0.000000	25.384240	25.092201	0.000000	0.000000	0	0	0
37	26	1	1	0.000000	14.076923	14.076923	0.000000	0.000000	0	0	0
38	1513	2	2	0.000000	24.923331	23.916061	0.000000	0.000000	0	0	0
39	27	1	1	0.000000	9.370370	9.370370	0.000000	0.000000	0	0	0
40	50236	2	2	0.000000	12.664643	12.663449	0.000000	0.000000	0	0	0
41	121	1	1	0.000000	10.900826	10.900826	0.000000	0.000000	0	0	0
42	2354	2	2	0.000000	12.461767	12.461767	0.000000	0.000000	0	0	0
43	29	1	1	0.000000	3.103448	3.103448	0.000000	0.000000	0	0	0
44	1	1	4	0.000000	46.000000	46.000000	0.000000	0.000000	0	0	0
45	1	1	4	0.000000	85.000000	85.000000	0.000000	0.000000	0	0	0
46	1	1	2	0.000000	87.000000	87.000000	0.000000	0.000000	0	0	0
47	17	1	2	0.000000	89.529412	89.529412	0.000000	0.000000	0	0	0
48	5	2	2	0.000000	99.800000	99.800000	0.000000	0.000000	0	0	0
49	400	1	1	0.000000	94.012500	84.892500	0.000000	0.000000	0	0	0
50	85	1	1	0.000000	94.352941	92.941176	0.000000	0.000000	0	0	0
51	94	1	1	0.000000	98.446809	90.393617	0.000000	0.000000	0	0	0
52	4	2	2	0.000000	101.250000	101.250000	0.000000	0.000000	0	0	0
53	1	2	1	0.000000	95.000000	95.000000	0.000000	0.000000	0	0	0
54	2	2	1	0.000000	87.000000	87.000000	0.000000	0.000000	0	0	0
55	1	2	1	0.000000	84.000000	84.000000	0.000000	0.000000	0	0	0
56	1	3	1	0.000000	80.000000	80.000000	0.000000	0.000000	0	0	0
57	1	2	1	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
58	1	2	1	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
59	2	2	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
60	26	1	1	0.000000	3.730769	3.730769	0.000000	0.000000	0	0	0
61	71187	1	2	0.000000	12.577128	12.576257	0.000000	0.000000	0	0	0
62	10206	1	1	0.000000	12.568685	12.568685	0.000000	0.000000	0	0	0
63	18387	2	1	0.000000	12.629793	12.629793	0.000000	0.000000	0	0	0
64	5648	2	1	0.000000	11.279568	11.279568	0.000000	0.000000	0	0	0
65	6	2	2	0.000000	104.666667	104.666667	0.000000	0.000000	0	0	0
66	29	1	1	0.000000	3.551724	3.551724	0.000000	0.000000	0	0	0
67	12771	1	2	0.000000	12.577167	12.577167	0.000000	0.000000	0	0	0
68	46	3	2	0.000000	49.913043	49.913043	0.000000	0.000000	0	0	0
69	9876	1	1	0.000000	12.644795	12.644795	0.000000	0.000000	0	0	0
70	1	1	3	0.000000	230.000000	230.000000	0.000000	0.000000	0	0	0
71	1	3	5	0.000000	509.000000	455.000000	0.000000	0.000000	0	0	0
72	4	4	1	0.000000	484.750000	430.250000	0.000000	0.000000	0	0	0
73	1	3	4	0.000000	290.000000	235.000000	0.000000	0.000000	0	0	0
74	1	2	1	0.000000	224.000000	169.000000	0.000000	0.000000	0	0	0
75	1	3	1	0.000000	199.000000	144.000000	0.000000	0.000000	0	0	0
76	1	5	1	0.000000	137.000000	96.000000	0.000000	0.000000	0	0	0
77	1	2	1	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
78	59	1	1	0.000000	10.050847	10.050847	0.000000	0.000000	0	0	0
79	2	2	2	0.000000	28.000000	28.000000	0.000000	0.000000	0	0	0
80	2	2	3	0.000000	41.000000	41.000000	0.000000	0.000000	0	0	0
81	2	2	1	0.000000	27.000000	27.000000	0.000000	0.000000	0	0	0
82	33064	1	1	0.000000	12.562545	12.562545	0.000000	0.000000	0	0	0
83	9418	1	1	0.000000	12.680081	12.670100	0.000000	0.000000	0	0	0
84	11	1	2	0.000000	28.090909	28.090909	0.000000	0.000000	0	0	0
85	1	1	2	0.000000	39.000000	39.000000	0.000000	0.000000	0	0	0
86	55	2	2	0.000000	50.327273	50.327273	0.000000	0.000000	0	0	0
87	1767	1	1	0.000000	12.813243	12.813243	0.000000	0.000000	0	0	0
88	1	3	1	0.000000	38.000000	38.000000	0.000000	0.000000	0	0	0
89	2341	1	1	0.000000	12.297309	12.297309	0.000000	0.000000	0	0	0
90	3865	1	1	0.000000	12.535576	12.535576	0.000000	0.000000	0	0	0
91	133	1	2	0.000000	137.917293	137.917293	0.000000	0.000000	0	0	0
92	182	2	2	0.000000	145.274725	133.225275	0.000000	0.000000	0	0	0
93	64	1	1	0.000000	130.609375	130.609375	0.000000	0.000000	0	0	0
94	245	2	2	0.000000	151.759184	146.991837	0.000000	0.000000	0	0	0
95	76	1	1	0.000000	140.802632	140.802632	0.000000	0.000000	0	0	0
96	77	2	2	0.000000	158.922078	149.597403	0.000000	0.000000	0	0	0
97	112	1	1	0.000000	140.875000	140.875000	0.000000	0.000000	0	0	0
98	5	2	2	0.000000	145.600000	145.600000	0.000000	0.000000	0	0	0
99	254	4	1	0.000000	140.803150	139.035433	0.000000	0.000000	0	0	0
100	1613	1	1	0.000000	12.241166	12.241166	0.000000	0.000000	0	0	0
